x_phys,y_phys
0.000000000000000000e+00,4.000000000000000222e-01
3.518590998043052281e-02,4.000000000000000222e-01
1.164774951076320841e-01,3.866927592954990112e-01
2.766340508806262033e-01,3.882583170254403360e-01
6.199999999999999956e-01,3.866927592954990112e-01
6.199999999999999956e-01,0.000000000000000000e+00
2.766340508806262033e-01,0.000000000000000000e+00
1.164774951076320841e-01,0.000000000000000000e+00
3.518590998043052281e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
